region,site,block_ID_original,plot_ID_original,position_ID_original,species,treat_warming,treat_competition,added_focals,block_ID,position_ID,unique_plot_ID,unique_plant_ID
ZAF,lo,5,1,5,leuser,ambi,vege,wf,05,05,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.05
ZAF,lo,5,1,6,knilin,ambi,vege,wf,05,06,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.06
ZAF,lo,5,1,7,Euphorbia clariovioides,ambi,vege,wf,05,07,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.07
ZAF,lo,5,1,8,eracap,ambi,vege,wf,05,08,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.08
ZAF,lo,5,1,9,scinat,ambi,vege,wf,05,09,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.09
ZAF,lo,5,1,10,budlor,ambi,vege,wf,05,10,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.10
ZAF,lo,5,1,11,melner,ambi,vege,wf,05,11,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.11
ZAF,lo,5,1,12,eupcla,ambi,vege,wf,05,12,ZAF.lo.ambi.vege.wf.05,ZAF.lo.ambi.vege.wf.05.12
ZAF,lo,5,2,1,Cotyledon,ambi,bare,wf,05,01,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.01
ZAF,lo,5,2,2,arijuc,ambi,bare,wf,05,02,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.02
ZAF,lo,5,2,3,clifnit,ambi,bare,wf,05,03,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.03
ZAF,lo,5,2,4,knilin,ambi,bare,wf,05,04,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.04
ZAF,lo,5,2,5,eracap,ambi,bare,wf,05,05,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.05
ZAF,lo,5,2,6,Crinum,ambi,bare,wf,05,06,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.06
